         #_time (fs)    site                 |m|                 m%x                 m%y                 m%z
      7.80000000E-03       2      1.00000000E+00     -1.46240204E-02     -7.98095577E-01      6.02353375E-01
      7.90000000E-03       1      1.00000000E+00      6.70522456E-03      7.97962895E-01      6.02669278E-01
      7.90000000E-03       2      1.00000000E+00     -6.70522456E-03     -7.97962895E-01      6.02669278E-01
      8.00000000E-03       1      1.00000000E+00     -1.21366359E-03      7.97751481E-01      6.02985159E-01
      8.00000000E-03       2      1.00000000E+00      1.21366359E-03     -7.97751481E-01      6.02985159E-01
      8.10000000E-03       1      1.00000000E+00     -9.13185503E-03      7.97461280E-01      6.03301016E-01
      8.10000000E-03       2      1.00000000E+00      9.13185503E-03     -7.97461280E-01      6.03301016E-01
      8.20000000E-03       1      1.00000000E+00     -1.70485593E-02      7.97092243E-01      6.03616851E-01
      8.20000000E-03       2      1.00000000E+00      1.70485593E-02     -7.97092243E-01      6.03616851E-01
      8.30000000E-03       1      1.00000000E+00     -2.49629844E-02      7.96644331E-01      6.03932661E-01
      8.30000000E-03       2      1.00000000E+00      2.49629844E-02     -7.96644331E-01      6.03932661E-01
      8.40000000E-03       1      1.00000000E+00     -3.28743370E-02      7.96117511E-01      6.04248448E-01
      8.40000000E-03       2      1.00000000E+00      3.28743370E-02     -7.96117511E-01      6.04248448E-01
      8.50000000E-03       1      1.00000000E+00     -4.07818225E-02      7.95511758E-01      6.04564211E-01
      8.50000000E-03       2      1.00000000E+00      4.07818225E-02     -7.95511758E-01      6.04564211E-01
      8.60000000E-03       1      1.00000000E+00     -4.86846452E-02      7.94827058E-01      6.04879949E-01
      8.60000000E-03       2      1.00000000E+00      4.86846452E-02     -7.94827058E-01      6.04879949E-01
      8.70000000E-03       1      1.00000000E+00     -5.65820082E-02      7.94063402E-01      6.05195662E-01
      8.70000000E-03       2      1.00000000E+00      5.65820082E-02     -7.94063402E-01      6.05195662E-01
      8.80000000E-03       1      1.00000000E+00     -6.44731134E-02      7.93220790E-01      6.05511351E-01
      8.80000000E-03       2      1.00000000E+00      6.44731134E-02     -7.93220790E-01      6.05511351E-01
